"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","cont_2","cont_3","2_1","2_2"
"c0a644e",-16194.129959821701,"unknown",-16188.82963013649,-16182.633014917374,0.0,5.770551919937134,12.441586017608643,19.35975217819214,1958.4902153015137,1965.7784004211426,2032.7397294044495,2038.5072798728943,"unknown",2045.148758172989,2046.4749512672424,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",2053.1878719329834,"unknown","unknown",2059.584149122238,"","","",""
"80f558b",-2009349.671509266,"unknown",-2009342.5371377468,-2009337.142437458,0.0,7.349023103713989,13.095760107040405,19.828284740447998,39.845842361450195,46.22292900085449,52.615649938583374,"unknown",58.045974016189575,64.73458766937256,67.0465476512909,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",73.6819179058075,"unknown","unknown",80.4633367061615,"","","",""
"87e4f18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0186834","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0355f6d",-74287.1751396656,"unknown",-74281.32616209984,-74275.6155629158,0.0,5.948237657546997,35.51431727409363,44.23121404647827,63.00571370124817,68.79945850372314,90.07706809043884,"unknown",96.758469581604,103.02812433242798,105.16404438018799,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",111.12048316001892,"unknown","unknown",117.28898477554321,"","","",""
"fa6a8b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145d339",-201.81717658042908,"unknown",-196.20485758781433,-189.48627471923828,0.0,6.885484933853149,8.322726726531982,16.845092058181763,35.81860136985779,42.75660061836243,49.08278751373291,56.18392372131348,"unknown",63.340036392211914,66.37574195861816,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",73.51219820976257,"unknown","unknown",79.04850816726685,"","","",""
"e96f42c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f382ec0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"962a7dd",-135584.8184747696,"unknown",-135579.04218959808,-135573.01145124435,0.0,5.773248910903931,8.995774984359741,16.047096252441406,31.741397857666016,37.17765831947327,59.09717297554016,64.66525220870972,"unknown",70.12871432304382,74.82997941970825,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",80.38946557044983,"unknown","unknown",86.76950883865356,"","","",""
"5c97513","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"acc6118",-537884.3316876888,"unknown",-537877.7258751392,-537872.4105062485,0.0,6.169473886489868,19.27995014190674,26.74883008003235,38.667442083358765,44.822460651397705,54.061875343322754,59.666231870651245,"unknown",65.47167587280273,67.90959787368774,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",73.70239639282227,"unknown","unknown",79.70236015319824,"","",-443568.0214662552,""
"d33371d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d45bd1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
