"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","x_3","12A","12B","13_1","13_2","13_3","15","2_1"
"1df700a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3a396c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79b129c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d85b5c4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43b56f8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ecbabb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c9c92b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f9b9236",-14509.524161338806,-14503.119842529297,-14497.466900348663,-14492.065519094467,0.0,7.073997974395752,10.172415733337402,15.766548871994019,31.547109842300415,37.564260721206665,75.74451088905334,82.22890949249268,"unknown",87.76887273788452,91.01266598701477,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",97.37439441680908,"unknown","unknown",102.7819333076477,""
"4a0236d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7a265d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"912afde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c97639e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"af72486","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2517d9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1e88a68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9d97673","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"aa07d95",-6132274.836956739,-6132267.889649153,-6132261.461637735,-6132255.474180698,0.0,7.10100245475769,13.201319694519043,20.38223099708557,26.342742919921875,32.15046000480652,77.09055590629578,83.18232488632202,"unknown",88.97460746765137,91.67425084114075,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",96.88381052017212,"unknown","unknown",103.77443504333496,""
"d27b032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38c4951","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13dba9e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e6d310e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8c74aa5",-15094.192117452621,-15088.561235427856,-15081.976089477539,-15075.915041685104,0.0,7.274963617324829,11.304683923721313,18.223498582839966,119.05446887016296,125.9307701587677,140.39485549926758,146.28473901748657,"unknown",152.8027858734131,154.8997781276703,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",160.6293294429779,"unknown","unknown",166.75786757469177,""
"679fa36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b164bf7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7e62763","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c7a7d85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3b7f267","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fa1efad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ae58bf1",-98311.94889497757,-98305.02521061897,-98299.62017726898,-98293.73050832748,0.0,5.926984548568726,11.059144973754883,18.066600561141968,55.70602297782898,61.60129427909851,77.9506483078003,84.11728692054749,"unknown",89.954265832901,117.857754945755,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",123.81346440315247,"unknown","unknown",130.51531648635864,""
"492238f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43c977d",-154586.63351917267,-154580.8161380291,-154574.31936979294,-154568.19006228447,0.0,7.089629888534546,9.169527769088745,16.19659686088562,39.66226863861084,46.07925224304199,90.44864559173584,"unknown",96.89310574531555,103.5782573223114,114.10104966163635,119.46280860900879,132.16497445106506,137.7931191921234,"unknown",144.88211822509766,173.36076831817627,"unknown","","unknown","unknown","unknown",179.33298802375793,"unknown",184.64191555976868,""
"4eff6be","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e1b193b",-90109.87563467026,-90103.36818957329,-90097.09092235565,-90089.90182185173,0.0,6.57709813117981,94.3027560710907,101.30198073387146,105.58430004119873,112.01565980911255,175.74211812019348,181.95075869560242,"unknown",189.1114640235901,231.20656871795654,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",238.4177267551422,"unknown","unknown",244.8096947669983,""
"1415cd3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2953e33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a540012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dd88e0f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d135983","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"814517e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53deb5c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4cf342","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c1a9909","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"844ab34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fc2538d",-157.0632688999176,-150.20487546920776,-144.19805932044983,-138.76234674453735,0.0,5.958270072937012,1533.618117570877,1540.0455429553986,2398.0095343589783,2404.8100094795227,3890.6237423419952,"unknown",3897.8905782699585,3904.563023328781,3910.5233573913574,3916.4396529197693,3921.0597825050354,"unknown",3927.15877366066,3933.877468109131,4832.425701618195,"unknown","","unknown","unknown","unknown",4839.596738100052,"unknown",4845.999051570892,""
"4c228f6",-48.2623176574707,-42.82106041908264,-36.09008049964905,-29.676142930984497,0.0,6.337810516357422,10.224207639694214,15.989733457565308,1544.9944043159485,1551.4395129680634,1559.9623394012451,1567.196634054184,"unknown",1573.3173072338104,1575.9301886558533,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",1582.353895664215,"unknown","unknown",1589.0952093601227,""
"747ce5f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ab42f2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
