"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","x_3","12A","12B","13_1","13_2","13_3","15","3_1","2_1"
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3",-177.64434432983398,"unknown",-171.14689993858337,-165.51695108413696,0.0,6.596086025238037,17.061432600021362,26.072593927383423,56.658077239990234,64.00945496559143,99.47300720214844,106.39897871017456,"unknown",112.26852631568909,114.18788456916809,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",120.98907542228699,"unknown","unknown",127.90591955184937,"",""
"d09321f",-31791.68771958351,"unknown",-31785.90150284767,-31780.104628562927,0.0,7.095466136932373,9.759540796279907,17.063727140426636,140.66048312187195,146.75975251197815,158.42272400856018,163.8669638633728,"unknown",169.08090448379517,177.50936245918274,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",184.28687024116516,"unknown","unknown",190.53261065483093,"",""
"58b1c8e",-4936.156686067581,"unknown",-4930.558400154114,-4924.651685714722,0.0,6.277719736099243,12.833695411682129,21.64158344268799,59.423717975616455,66.57960844039917,72.94372081756592,"unknown",79.70387625694275,86.73337626457214,89.56980633735657,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",95.96185970306396,"unknown","unknown",102.03567171096802,"",""
"bf3dfcf",-3029.998022079468,"unknown",-3022.7756221294403,-3015.6183183193207,0.0,6.13061261177063,30.03383469581604,38.31174564361572,66.462406873703,72.21353125572205,85.38918471336365,91.6876630783081,"unknown",98.31379723548889,113.88108992576599,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",120.85973143577576,"unknown","unknown",127.66680312156677,"",""
"80e625f",-38126.585129499435,"unknown",-38121.25977039337,-38115.01261854172,0.0,6.153731107711792,10.046291589736938,17.56003212928772,31.601568698883057,37.0541467666626,50.41157841682434,57.74871563911438,"unknown",63.94556164741516,65.61792349815369,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",71.28032350540161,"unknown","unknown",76.87232875823975,"",""
"9846ca8",-158818.43731474876,"unknown",-158813.03228998184,-158806.67473220825,0.0,5.926778078079224,11.651904582977295,19.858967304229736,40.66993451118469,47.71481132507324,70.45029783248901,"unknown",76.6283872127533,82.77111649513245,84.56652283668518,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",90.86839604377747,"unknown","unknown",97.56204295158386,"",""
"cc02471",-87169.99986672401,"unknown",-87164.04658722878,-87157.13481378555,0.0,7.32917332649231,13.67934536933899,20.865052700042725,50.94461417198181,58.00511956214905,66.04446864128113,71.66135048866272,"unknown",78.16244292259216,80.49982380867004,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",86.92430758476257,"unknown","unknown",92.16281795501709,"",""
"0a30844",-185724.4810116291,"unknown",-185718.90230369568,-185712.81875610352,0.0,5.327733278274536,10.637301445007324,19.307386875152588,48.95624494552612,55.43029069900513,63.3245894908905,"unknown",70.44398021697998,76.77123141288757,117.79475665092468,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",123.65115475654602,"unknown","unknown",129.961678981781,"",""
"43d0b63",-4504.092707872391,"unknown",-4497.51211810112,-4491.30420589447,0.0,6.26355242729187,17.39447832107544,24.35237431526184,42.67157745361328,49.49008584022522,56.73339128494263,"unknown",62.31292986869812,69.33373069763184,72.24319624900818,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",78.35133409500122,"unknown","unknown",83.86861538887024,"",""
