"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","cont_2","2_1","2_2"
"4b70ed3",-18559.780288934708,"unknown",-18553.381321430206,-18547.482040405273,0.0,5.9546966552734375,15.579950094223022,22.915762901306152,39.33573770523071,45.69706106185913,50.188360929489136,56.12273335456848,"unknown",61.81319808959961,67.62122702598572,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.52441620826721,"unknown","unknown",81.52352571487427,"","",""
"8ec15bc",-1100.5021266937256,"unknown",-1094.5842809677124,-1088.9020898342133,0.0,5.483133316040039,7.201208591461182,15.107819318771362,26.619751453399658,33.61134910583496,38.314131021499634,44.10782551765442,"unknown",52.02154469490051,55.34584879875183,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",61.82624959945679,"unknown","unknown",67.91572570800781,"","",""
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-19982.121359825134,"unknown",-19975.980479478836,-19969.64110183716,0.0,5.440775156021118,8.446876287460327,15.988515377044678,24.70857048034668,29.96910309791565,59.953306674957275,65.5493049621582,"unknown",71.68894696235657,73.42978930473328,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",78.95814228057861,"unknown","unknown",85.05186462402344,"","",""
"a300755",-2913315.5978062153,"unknown",-2913310.309675932,-2913303.2278602123,0.0,6.056158542633057,16.336238384246826,23.829915285110474,44.054373264312744,49.68341088294983,59.58068037033081,66.2353286743164,"unknown",72.48579740524292,74.45346307754517,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",79.82421469688416,"unknown","unknown",86.67203092575073,"","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69",-2475.1276648044586,"unknown",-2469.0837440490723,-2462.3197903633118,0.0,7.147867441177368,13.686347484588623,21.29944133758545,32.806997299194336,39.19142174720764,43.342867374420166,49.51718497276306,"unknown",56.06788206100464,57.83901762962341,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",63.22581934928894,"unknown","unknown",68.78573083877563,"","",""
"7bb45d3",-12681.661307096481,"unknown",-12675.96406364441,-12669.821652650833,0.0,7.359483242034912,9.826586484909058,16.81068253517151,31.703613996505737,38.69436812400818,44.10521149635315,50.57422113418579,"unknown",55.82026171684265,58.67663908004761,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",65.1617636680603,"unknown","unknown",71.35524249076843,"","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e",-406.94395637512207,"unknown",-401.1192796230316,-393.9674437046051,0.0,6.719878673553467,57.93239974975586,66.37466073036194,82.95336365699768,89.469975233078,101.62127566337585,108.66451716423035,"unknown",115.33705472946167,670.921587228775,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",676.9124510288239,"unknown","unknown",683.1567511558533,"","",""
"07ff49d",-385.66347312927246,"unknown",-378.4304802417755,-371.57369017601013,0.0,6.837272882461548,15.678977727890015,24.171786785125732,33.654601097106934,38.84022831916809,43.69942760467529,50.92862105369568,"unknown",57.22383189201355,59.050347089767456,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",64.31597757339478,"unknown","unknown",70.0193202495575,"","",""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852",-328435.4168484211,"unknown",-328428.9527375698,-328423.39912366867,0.0,5.664201736450195,18.223140239715576,25.066004991531372,52.08392786979675,57.93507766723633,63.482887983322144,68.89737200737,"unknown",75.22362184524536,78.0746169090271,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",85.05959367752075,"unknown","unknown",92.00361633300781,"","",""
"ad2fc5b",-966.8077442646027,"unknown",-959.5409519672394,-953.7119417190552,0.0,6.664994716644287,12.03769302368164,20.421892166137695,34.27508568763733,39.80175018310547,45.34237003326416,51.05492377281189,"unknown",57.10708498954773,60.04118371009827,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",66.16623044013977,"unknown","unknown",72.21010971069336,"","",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32",-1342841.732464075,"unknown",-1342834.649171114,-1342828.2449114323,0.0,5.786570072174072,9.441953420639038,16.318666219711304,33.22790312767029,38.6526083946228,43.449296951293945,50.25634026527405,"unknown",56.50167441368103,58.15277099609375,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",64.97337245941162,"unknown","unknown",71.91601991653442,"","",""
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-2066.2073698043823,"unknown",-2060.2185213565826,-2054.6445388793945,0.0,6.743269205093384,11.963817119598389,20.019817352294922,33.073601484298706,38.92206692695618,44.10807418823242,50.12181830406189,"unknown",55.57121229171753,58.185768604278564,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",63.756948471069336,"unknown","unknown",70.8063805103302,"","",""
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-3291.8986127376556,"unknown",-3285.2773501873016,-3278.4755005836487,0.0,5.297141075134277,10.91855788230896,19.24603009223938,39.91080069541931,46.647481203079224,54.77023124694824,61.59650111198425,"unknown",66.7875018119812,71.29800152778625,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",77.11178493499756,"unknown","unknown",83.89090299606323,"","",""
"537189f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17b5a6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3e37eb",-245807.39173841476,"unknown",-245802.11746692657,-245796.0374379158,0.0,5.701314210891724,8.55864405632019,16.884583234786987,28.448427200317383,35.2470486164093,39.133480072021484,45.940014600753784,"unknown",51.506208419799805,53.435742139816284,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",60.596816539764404,"unknown","unknown",66.06956791877747,"","",""
"2ee7f92",-2727.6070663928986,"unknown",-2720.5650730133057,-2713.4230177402496,0.0,6.494798183441162,8.291767120361328,16.401634693145752,19.592888593673706,25.931589365005493,30.20129132270813,37.39923357963562,"unknown",43.2867386341095,44.424198389053345,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",49.95441031455994,"unknown","unknown",55.259859800338745,"","",""
"89d63ed",-1847.169993877411,"unknown",-1840.461464881897,-1834.2322459220886,0.0,5.21351432800293,7.701119422912598,16.258105516433716,20.677666902542114,27.7954580783844,31.17368173599243,36.854371547698975,"unknown",42.200748682022095,44.530245780944824,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",51.46504187583923,"unknown","unknown",57.9604434967041,"","",""
"c0a644e",-753.5440380573273,"unknown",-746.2795262336731,-740.6644897460938,0.0,6.612699508666992,8829.972279548645,8837.630186080933,8896.840590238571,8903.157383918762,8907.150063753128,8912.920561552048,"unknown",8918.495606660843,8920.435748577118,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",8926.801843643188,"unknown","unknown",8933.11961889267,"","",""
