"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","2_1"
"89d63ed",-2155.8971354961395,"unknown",-2149.5350635051727,-2142.8234622478485,0.0,6.00584864616394,7.972546577453613,15.607310771942139,18.538551330566406,25.47161602973938,33.19404458999634,38.72845721244812,"unknown",45.68387961387634,47.71263241767883,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",54.13233304023743,"unknown","unknown",61.18137717247009,""
"c0a644e",-2256.5872752666473,"unknown",-2250.0464680194855,-2243.7361278533936,0.0,7.05124831199646,12.152642965316772,20.23383927345276,37.859622955322266,45.2068874835968,55.595622539520264,61.33133554458618,"unknown",67.63972878456116,69.38902044296265,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.2318229675293,"unknown","unknown",82.18939757347107,""
"80f558b",-781970.2055985928,"unknown",-781964.0297996998,-781956.9542789459,0.0,7.147857666015625,13.801470518112183,21.87696409225464,40.46378827095032,47.45922517776489,62.449012994766235,"unknown",68.20144557952881,74.60600781440735,77.98665165901184,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",84.51145052909851,"unknown","unknown",91.20089650154114,""
"87e4f18","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0186834","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0355f6d",-20212.62929701805,"unknown",-20206.352163553238,-20201.043540000916,0.0,6.628610849380493,12.643728256225586,20.054633617401123,42.80050992965698,49.955620527267456,73.41112351417542,"unknown",79.19290089607239,85.09510493278503,87.53368711471558,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",93.96215105056763,"unknown","unknown",99.95519018173218,""
"fa6a8b8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145d339",-1500.7321238517761,"unknown",-1494.6001856327057,-1489.1754970550537,0.0,6.986157655715942,11.042977571487427,18.53392004966736,41.019615650177,47.72594881057739,57.607261419296265,"unknown",63.82927894592285,71.00991487503052,72.66206502914429,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",79.25529646873474,"unknown","unknown",86.27755188941956,""
"e96f42c","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f382ec0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"962a7dd",-78.89898777008057,"unknown",-72.98231863975525,-66.12051606178284,0.0,6.6799304485321045,29.018706560134888,37.119290351867676,51.10121035575867,57.45773720741272,72.56350326538086,79.5659909248352,"unknown",86.55169343948364,119.67369341850281,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",125.57881927490234,"unknown","unknown",132.03295469284058,""
"5c97513","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"acc6118",-81788.15417599678,"unknown",-81781.19518351555,-81775.61330342293,0.0,6.4232401847839355,12.907696008682251,20.00360870361328,55.395244121551514,62.43563365936279,85.00554966926575,"unknown",90.55715489387512,97.2768247127533,99.35378432273865,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",105.97686624526978,"unknown","unknown",112.45773100852966,""
"d33371d","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d45bd1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfcbc2d","","","","","","","","","","","","","","","","","","","","","","","","","","",""
