"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_3","otro_final"
"13dba9e","A","","A","A","","","A"
"2969d00","","","","","","",""
"a28c2ed","","","","","","",""
"53deb5c","B","","B","B","","","B"
"7baeff7","C","","C","A","","","A"
"1800004","A","","A","A","","","A"
"758fff8","","","","","","",""
"e56df1e","","","","","","",""
"f9b9236","A","","A","A","","","A"
"6c8f107","","","","","","",""
"959908d","","","","","","",""
"7cf831f","B","","B","B","","","B"
"152aa4d","B","","B","B","","","B"
"4997357","B","","B","B","","","B"
"390c370","","","","","","",""
"0975113","","","","","","",""
"145d339","B","","B","B","","","B"
"9ff15be","","","","","","",""
"c97639e","B","","B","A","","","A"
"d3e37eb","C","","C","A","","","A"
"0fd9ca7","C","","C","C","","","C"
"2d90b99","","","","","","",""
"024f546","","","","","","",""
"190aebe","","","","","","",""
"4a92bfd","A","","A","C","","","C"
"388a24f","","","","","","",""
"c2d349a","","","","","","",""
