"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_final"
"bf3dfcf","B","","B","A","","A"
"b75259d","A","","A","A","","A"
"b5edd3c","B","","B","B","","B"
"dbe3880","A","","A","A","","A"
"d27b032","A","","A","A","","A"
"5ba2fe6","C","","C","A","","A"
"e6d310e","A","","A","A","","A"
"0e42357","A","","A","A","","A"
"5d4fcbe","A","","A","A","","A"
"e98cdcd","B","","B","A","","A"
"3129a5f","","","","","",""
"3c60f14","","","","","",""
"fbc9f8e","","","","","",""
"e2517d9","A","","A","A","","A"
"4eff6be","A","","A","C","","C"
"d886e8c","","","","","",""
"518e9b8","B","","B","A","","A"
"0ff20c2","A","","A","A","","A"
"47dcadc","B","","B","A","","A"
"168adfc","","","","","",""
"1883ca0","A","","A","A","","A"
"37b9a9f","A","","A","A","","A"
"44c4439","","","","","",""
"d8c6137","","","","","",""
"cde024d","","","","","",""
"41f497c","A","","A","B","","B"
"9cfbb83","A","","A","A","","A"
"13dba9e","B","","B","B","","B"
"2969d00","","","","","",""
"a28c2ed","","","","","",""
"53deb5c","A","","A","A","","A"
"7baeff7","A","","A","A","","A"
"1800004","A","","A","A","","A"
"758fff8","A","","A","A","","A"
"e56df1e","","","","","",""
"f9b9236","B","","B","A","","A"
"6c8f107","","","","","",""
"959908d","A","","A","A","","A"
"7cf831f","A","","A","A","","A"
"152aa4d","A","","A","A","","A"
"4997357","A","","A","A","","A"
"390c370","","","","","",""
"0975113","","","","","",""
"145d339","A","","A","A","","A"
"9ff15be","","","","","",""
"c97639e","A","","A","A","","A"
"d3e37eb","A","","A","B","","B"
"0fd9ca7","B","","B","A","","A"
"2d90b99","","","","","",""
"024f546","","","","","",""
"190aebe","","","","","",""
"4a92bfd","C","","C","C","","C"
"388a24f","","","","","",""
"c2d349a","","","","","",""
