"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_final"
"c0b0b8d","","","","","",""
"d0c28bd","","","","","",""
"f72baab","","","","","",""
"7de2a3d","","","","","",""
"0a30844","","","","","",""
"16c851e","","","","","",""
"374ecf8","C","","C","C","","C"
"6b36bf5","B","","B","A","","A"
"a12b731","","","","","",""
"f84d8ce","","","","","",""
"3a03bea","","","","","",""
"56191c0","","","","","",""
"cb28371","","","","","",""
"dee5269","A","B","B","B","","B"
"45dcec0","","","","","",""
"fa86f6c","","","","","",""
"2535794","","","","","",""
"c09d25e","","","","","",""
"e2447f7","","","","","",""
"fa6a8b8","","","","","",""
"f6ffd76","","","","","",""
"5f84339","","","","","",""
"0d5233e","","","","","",""
"f11e43a","","","","","",""
"916c172","C","","C","C","","C"
"5883800","","","","","",""
"f578367","","","","","",""
"43c977d","C","","C","C","","C"
"1d235c1","","","","","",""
"4c228f6","B","","B","A","","A"
"755e429","","","","","",""
"022a3c8","","","","","",""
"d524668","","","","","",""
"844fef2","B","","B","B","","B"
"e3983fc","","","","","",""
"29d5c2d","","","","","",""
"c8e93ba","","","","","",""
"35c93ab","","","","","",""
"36b4ec5","C","","C","A","","A"
"3883e37","","","","","",""
"50ec1c5","","","","","",""
"e0e4f04","","","","","",""
"6801018","","","","","",""
"e1b193b","C","","C","C","","C"
"12dfda3","","","","","",""
"431a1f2","","","","","",""
"466a0ab","","","","","",""
"b93f60e","","","","","",""
"98b4423","","","","","",""
"965ec7c","","","","","",""
"1d3b63b","","","","","",""
"6099d06","C","","C","C","","C"
"814517e","C","","C","B","","B"
"56ee475","C","","C","C","","C"
"e845b6b","C","","C","C","","C"
"3458a8b","","","","","",""
"047f2ca","C","","C","C","","C"
"a80b75d","","","","","",""
"1b1a108","","","","","",""
"dbef0f1","","","","","",""
"5d2b358","","","","","",""
"c36bc4b","","","","","",""
"f2e6813","","","","","",""
"173b4d2","","","","","",""
"98ecb86","C","","C","C","","C"
"bf3dfcf","","","","","",""
"b75259d","","","","","",""
"b5edd3c","B","","B","B","","B"
"dbe3880","","","","","",""
"d27b032","","","","","",""
"5ba2fe6","","","","","",""
"e6d310e","C","","C","C","","C"
"0e42357","","","","","",""
"5d4fcbe","C","","C","C","","C"
"e98cdcd","B","","B","B","","B"
"3129a5f","","","","","",""
"3c60f14","","","","","",""
"fbc9f8e","","","","","",""
"e2517d9","","","","","",""
"4eff6be","","","","","",""
"d886e8c","","","","","",""
"518e9b8","C","","C","B","","B"
"0ff20c2","C","","C","C","","C"
"47dcadc","B","","B","B","","B"
"168adfc","","","","","",""
"1883ca0","C","","C","C","","C"
"37b9a9f","B","","B","C","","C"
"44c4439","","","","","",""
"d8c6137","","","","","",""
"cde024d","","","","","",""
"41f497c","","","","","",""
"9cfbb83","","","","","",""
"13dba9e","","","","","",""
"2969d00","","","","","",""
"a28c2ed","","","","","",""
"53deb5c","C","","C","C","","C"
"7baeff7","","","","","",""
"1800004","","","","","",""
"758fff8","","","","","",""
"e56df1e","","","","","",""
"f9b9236","C","","C","C","","C"
"6c8f107","","","","","",""
"959908d","","","","","",""
"7cf831f","C","","C","A","","A"
"152aa4d","C","","C","B","","B"
"4997357","","","","","",""
"390c370","","","","","",""
"0975113","","","","","",""
"145d339","C","","C","B","","B"
"9ff15be","","","","","",""
"c97639e","","","","","",""
"d3e37eb","C","","C","C","","C"
"0fd9ca7","","","","","",""
"2d90b99","","","","","",""
"024f546","","","","","",""
"190aebe","","","","","",""
"4a92bfd","","","","","",""
"388a24f","","","","","",""
"c2d349a","","","","","",""
