"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_final"
"3a03bea","B","","B","C","","C"
"56191c0","C","","C","C","","C"
"cb28371","B","","B","C","","C"
"dee5269","C","","C","C","","C"
"45dcec0","","","","","",""
"fa86f6c","C","","C","C","","C"
"2535794","","","","","",""
"c09d25e","C","","C","A","","A"
"e2447f7","C","","C","C","","C"
"fa6a8b8","C","","C","B","","B"
"f6ffd76","B","","B","B","","B"
"5f84339","C","","C","C","","C"
"0d5233e","B","","B","A","","A"
"f11e43a","B","","B","C","","C"
"916c172","C","","C","C","","C"
"5883800","","","","","",""
"f578367","C","","C","B","","B"
"43c977d","C","","C","C","","C"
"1d235c1","C","","C","C","","C"
"4c228f6","C","","C","A","","A"
"755e429","B","A","A","A","","A"
"022a3c8","C","","C","C","","C"
"d524668","C","","C","C","","C"
"844fef2","A","","A","A","","A"
"e3983fc","","","","","",""
"29d5c2d","B","","B","B","","B"
"c8e93ba","","","","","",""
"35c93ab","","","","","",""
"36b4ec5","C","","C","A","","A"
"3883e37","B","","B","C","","C"
"50ec1c5","B","","B","A","","A"
"e0e4f04","C","","C","C","","C"
"6801018","C","","C","C","","C"
"e1b193b","C","","C","C","","C"
"12dfda3","B","","B","C","","C"
"431a1f2","","","","","",""
"466a0ab","C","","C","C","","C"
"b93f60e","C","","C","C","","C"
"98b4423","","","","","",""
"965ec7c","C","","C","C","","C"
"1d3b63b","C","","C","C","","C"
"6099d06","C","","C","B","","B"
"814517e","C","","C","A","","A"
"56ee475","C","","C","C","","C"
"e845b6b","C","","C","A","","A"
"3458a8b","C","","C","C","","C"
"047f2ca","C","","C","C","","C"
"a80b75d","B","","B","C","","C"
"1b1a108","C","","C","C","","C"
"dbef0f1","","","","","",""
"5d2b358","C","","C","C","","C"
"c36bc4b","","","","","",""
"f2e6813","","","","","",""
"173b4d2","C","","C","C","","C"
"98ecb86","B","","B","C","","C"
"bf3dfcf","C","","C","C","","C"
"b75259d","B","","B","C","","C"
"b5edd3c","B","","B","C","","C"
"dbe3880","C","","C","C","","C"
"d27b032","C","","C","C","","C"
"5ba2fe6","B","","B","C","","C"
"e6d310e","C","","C","B","","B"
"0e42357","C","","C","A","","A"
"5d4fcbe","B","","B","C","","C"
"e98cdcd","B","","B","B","","B"
"3129a5f","","","","","",""
"3c60f14","","","","","",""
"fbc9f8e","","","","","",""
"e2517d9","C","","C","B","","B"
"4eff6be","C","","C","B","","B"
"d886e8c","C","","C","A","","A"
"518e9b8","B","","B","A","","A"
"0ff20c2","C","","C","B","","B"
"47dcadc","C","","C","B","","B"
"168adfc","","","","","",""
"1883ca0","B","","B","C","","C"
"37b9a9f","C","","C","C","","C"
"44c4439","","","","","",""
"d8c6137","C","","C","B","","B"
"cde024d","C","","C","C","","C"
"41f497c","A","","A","C","","C"
"9cfbb83","C","","C","C","","C"
"13dba9e","B","","B","B","","B"
"2969d00","B","","B","C","","C"
"a28c2ed","","","","","",""
"53deb5c","B","","B","C","","C"
"7baeff7","C","","C","A","","A"
"1800004","A","","A","B","","B"
"758fff8","C","","C","C","","C"
"e56df1e","","","","","",""
"f9b9236","C","","C","C","","C"
"6c8f107","","","","","",""
"959908d","C","","C","A","","A"
"7cf831f","C","","C","C","","C"
"152aa4d","C","","C","C","","C"
"4997357","C","","C","C","","C"
"390c370","","","","","",""
"0975113","C","","C","C","","C"
"145d339","C","","C","C","","C"
"9ff15be","","","","","",""
"c97639e","A","","A","A","","A"
"d3e37eb","C","","C","C","","C"
"0fd9ca7","C","","C","C","","C"
"2d90b99","","","","","",""
"024f546","C","","C","C","","C"
"190aebe","","","","","",""
"4a92bfd","C","","C","C","","C"
"388a24f","C","","C","C","","C"
"c2d349a","","","","","",""
