"","genere","edat","pp","pp_v","pp_v_g","pp_bf","pp_bef","pp_bel","pp_bev","pp_bec","pp_bes","pp_bea","p_cuid","p_c","p_c_si","p_f","p_f_si","p_a","p_a_si","p_l","p_l_si","p_v","p_v_si","p_ac","p_ac_si","p_g1","p_g2","p_ass","p_prof","p_prof_si","country_alpha2","urban_rural","is_in_Catalonia","language"
"f91cb3f","f","4","Sí","Sí","a","m","a","a","b","b","nsdmp","a","Sí","Sí","a","Sí","m","Sí","m","Sí","a","No","","No","","b","m","Sí","No","","US","",False,"en"
"65fc038","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"5a20153","f","3","No","","","","","","","","","","No","No","","Sí","a","Sí","m","No","","No","","No","","a","a","Sí","No","","ES","urban",True,"ca"
"9f4d288","m","4","No","","","","","","","","","","No","No","","Sí","b","No","","No","","Sí","b","No","","b","b","Sí","Sí","apasa","ES","urban",True,"ca"
"a1efa63","f","2","Sí","Sí","nsdmp","b","m","nsdmp","nvr","nvr","b","a","No","nvr","","Sí","m","Sí","a","nvr","","nvr","","Sí","nvr","a","m","No","nvr","","ES","",False,"es"
"5dbecee","m","5","Sí","Sí","a","nsdmp","b","nsdmp","nsdmp","nsdmp","nsdmp","a","No","No","","Sí","a","Sí","a","No","","Sí","b","No","","b","b","No","No","","ES","urban",True,"ca"
"f0d3a29","f","2","Sí","Sí","b","nsdmp","b","nvr","b","b","b","a","No","Sí","m","Sí","m","Sí","m","No","","Sí","b","Sí","m","m","b","Sí","nvr","","ES","",False,"es"
"03d92de","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"9846ca8","f","4","Sí","Sí","b","a","a","b","b","m","m","a","No","No","","Sí","m","Sí","a","Sí","m","nvr","","No","","a","a","No","Sí","a","ES","",False,"ca"
"bc1ad54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"de"
"3abe69c","f","1","Sí","Sí","a","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","a","No","Sí","m","Sí","b","No","","No","","No","","No","","","","","","","ES","rural",True,"ca"
"d3a396c","m","1","No","","","","","","","","","","No","No","","No","","Sí","m","No","","nvr","","Sí","b","m","m","No","No","","ES","urban",True,"ca"
"6f17bd1","f","2","No","","","","","","","","","","Sí","Sí","nvr","No","","Sí","m","Sí","a","nvr","","nvr","","a","m","Sí","Sí","psm","ES","urban",True,"ca"
"637819c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"9265cd7","m","5","Sí","No","","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","b","No","No","","No","","Sí","m","nvr","","nvr","","nvr","","b","m","No","No","","ES","urban",True,"ca"
"43d0b63","f","5","Sí","Sí","a","m","m","m","nsdmp","nsdmp","nsdmp","a","Sí","Sí","a","No","","Sí","a","No","","Sí","b","Sí","a","m","a","No","No","","ES","urban",True,"es"
"dae9b13","f","3","Sí","Sí","b","m","m","b","nsdmp","nvr","b","a","No","Sí","a","Sí","a","No","","Sí","b","nvr","","nvr","","m","b","No","Sí","a","ES","urban",True,"ca"
"5177026","f","1","Sí","Sí","a","b","a","nsdmp","nsdmp","b","a","a","No","Sí","a","Sí","m","Sí","a","nvr","","nvr","","Sí","b","m","a","Sí","Sí","a","US","",False,"en"
"9c76c21","m","4","Sí","Sí","m","b","b","nsdmp","nsdmp","nsdmp","nsdmp","a","No","No","","Sí","b","Sí","m","nvr","","No","","No","","b","m","No","No","","ES","urban",True,"ca"
"d4122df","d","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","rural",True,"ca"
"ce36e73","f","1","Sí","Sí","b","m","a","nsdmp","nsdmp","nsdmp","b","m","Sí","Sí","a","Sí","a","Sí","a","Sí","b","nvr","","nvr","","nvr","b","Sí","No","","US","",False,"en"
"129e7fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"adce8fd","m","1","Sí","Sí","a","b","m","nt","nsdmp","m","m","m","No","No","","Sí","m","Sí","a","nvr","","nvr","","Sí","b","m","m","Sí","nvr","","ES","",False,"es"
"c9285e4","f","3","Sí","Sí","b","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","b","a","No","No","","No","","Sí","a","No","","No","","No","","a","m","No","No","","ES","urban",True,"ca"
"007a721","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"5d45bd1","m","2","No","","","","","","","","","","No","Sí","a","Sí","a","No","","No","","No","","No","","a","b","Sí","No","","ES","urban",True,"ca"
"cfcbc2d","f","2","No","","","","","","","","","","No","No","","No","","No","","No","","No","","No","","a","","Sí","Sí","psm","ES","urban",True,"ca"
"fc53f6c","f","1","Sí","Sí","nsdmp","nsdmp","b","b","nsdmp","nvr","m","nvr","No","Sí","b","nvr","","Sí","nvr","Sí","b","nvr","","No","","nvr","b","No","No","","US","",False,"en"
"38c4951","f","4","Sí","Sí","m","b","a","nt","nsdmp","nsdmp","m","m","No","Sí","m","No","","No","","No","","Sí","b","No","","b","b","Sí","No","","ES","urban",True,"ca"
"3901ca4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"d9696dd","f","3","No","","","","","","","","","","No","No","","No","","No","","No","","nvr","","No","","b","","No","No","","ES","",False,"es"
"e353d18","m","4","Sí","Sí","a","a","m","nt","nsdmp","nsdmp","m","a","Sí","Sí","a","Sí","a","Sí","a","Sí","a","nvr","","Sí","m","m","m","Sí","Sí","a","ES","",False,"es"
"8655fd7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"3e6beba","f","4","Sí","Sí","b","b","b","m","nsdmp","nsdmp","b","m","Sí","No","","No","","Sí","m","Sí","m","No","","Sí","m","m","m","Sí","Sí","psm","ES","rural",True,"ca"
"277c17a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"cde7968","f","5","Sí","Sí","a","a","a","nt","b","m","b","m","No","No","","No","","Sí","a","nvr","","Sí","m","Sí","m","m","m","Sí","nvr","","ES","urban",True,"ca"
"de45cef","f","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US","",False,"en"
"d7ff55b","m","4","No","","","","","","","","","","No","No","","No","","Sí","a","Sí","a","No","","No","","m","a","No","Sí","psm","ES","rural",True,"ca"
"7b65802","m","3","Sí","No","","a","m","nsdmp","nsdmp","nsdmp","b","m","No","No","","No","","No","","Sí","b","nvr","","No","","b","b","Sí","No","","ES","urban",True,"ca"
"45f7f6c","f","4","Sí","Sí","a","nvr","a","b","b","m","b","m","No","No","","Sí","b","Sí","m","Sí","b","nvr","","No","","b","m","No","No","","ES","urban",True,"ca"
"89f6d9e","f","3","Sí","Sí","m","b","m","b","nsdmp","nsdmp","b","m","No","Sí","m","Sí","m","Sí","m","Sí","b","nvr","","nvr","","b","m","No","No","","MX","",False,"es"
"f9639b3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"d5a5d03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"en"
"8f7d05f","f","3","Sí","Sí","a","a","a","b","m","nsdmp","a","a","No","No","","Sí","b","No","","nvr","","nvr","","nvr","","nvr","b","No","No","","FI","",False,"en"
"58cb4bb","f","3","Sí","Sí","m","nsdmp","m","nsdmp","nsdmp","b","nsdmp","a","Sí","Sí","a","Sí","a","No","","No","","No","","No","","a","a","Sí","No","","ES","rural",True,"ca"
"4e53c5c","f","4","Sí","Sí","a","a","m","m","a","m","m","a","No","No","","No","","No","","Sí","a","Sí","m","Sí","a","a","a","Sí","Sí","apasa","ES","",False,"ca"
"99cea42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"0d1d4a2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"a839247","d","2","Sí","Sí","a","nsdmp","a","nsdmp","nsdmp","m","a","a","Sí","Sí","a","Sí","b","Sí","a","Sí","b","nvr","","Sí","b","a","a","Sí","Sí","apaso","ES","urban",True,"es"
"3d3d373","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"48179d1","f","2","Sí","nvr","","b","m","nsdmp","nsdmp","nsdmp","nsdmp","m","No","No","","No","","No","","No","","No","","No","","b","","Sí","No","","","",False,"en"
"c587cf2","d","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"c9c92b5","f","4","Sí","Sí","m","m","m","nt","nsdmp","nsdmp","b","a","Sí","Sí","a","Sí","a","No","","nvr","","nvr","","Sí","m","a","b","Sí","No","","ES","",False,"es"
"a6dece0","m","2","Sí","Sí","b","m","b","b","b","b","b","b","No","No","","No","","No","","Sí","b","No","","No","","b","b","No","No","","ES","urban",True,"ca"
"32b1d7b","m","4","No","","","","","","","","","","No","Sí","a","No","","No","","Sí","b","No","","No","","b","a","No","No","","ES","urban",True,"ca"
"eecc636","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"ec511f8","f","5","Sí","No","","m","m","b","b","b","b","m","No","No","","Sí","m","No","","No","","nvr","","nvr","","b","nvr","Sí","Sí","apasa","ES","urban",True,"ca"
"ea146eb","f","1","Sí","Sí","a","m","m","nt","nsdmp","nvr","m","b","No","Sí","b","Sí","m","Sí","m","nvr","","No","","Sí","nvr","m","a","","","","ES","rural",True,"es"
"7e62763","f","3","Sí","Sí","a","m","a","m","nsdmp","b","b","b","No","No","","Sí","m","Sí","m","Sí","m","No","","nvr","","m","b","Sí","Sí","apaso","ES","",False,"ca"
"1415cd3","m","3","No","","","","","","","","","","No","No","","Sí","m","No","","No","","No","","No","","b","b","No","No","","ES","urban",True,"ca"
"9a94644","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"b921637","m","6","Sí","Sí","m","b","nsdmp","nt","nsdmp","nsdmp","nsdmp","b","Sí","Sí","b","Sí","m","No","","nvr","","Sí","b","No","","b","b","Sí","Sí","apasa","ES","urban",True,"es"
"bd4b2f4","f","3","Sí","Sí","a","b","a","nt","nsdmp","nsdmp","nsdmp","a","No","No","","Sí","m","Sí","a","nvr","","nvr","","No","","m","a","No","No","","ES","urban",True,"ca"
"c094913","f","3","Sí","Sí","a","m","m","b","b","nsdmp","m","a","No","No","","Sí","a","No","","No","","Sí","b","No","","b","m","No","No","","ES","urban",True,"ca"
"7622483","f","2","Sí","Sí","a","a","m","b","nsdmp","nsdmp","m","a","No","No","","No","","Sí","a","Sí","b","nvr","","nvr","","b","m","No","No","","ES","urban",True,"ca"
"d876b22","f","1","No","","","","","","","","","","No","Sí","m","Sí","b","No","","No","","Sí","b","No","","b","nvr","No","Sí","psm","ES","urban",True,"es"
"331444e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"d282bbe","f","3","Sí","Sí","m","nsdmp","a","nsdmp","nsdmp","nsdmp","m","m","","","","","","","","","","","","","","","","","","","ES","urban",True,"ca"
"ac83cfc","m","4","Sí","Sí","m","b","b","nsdmp","nsdmp","nsdmp","b","a","","","","","","","","","","","","","","","","","","","ES","urban",True,"ca"
"79b129c","f","4","No","","","","","","","","","","No","No","","No","","Sí","m","Sí","b","nvr","","nvr","","m","m","No","No","","AT","",False,"de"
"ba60a18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"e4c0f9c","m","2","No","","","","","","","","","","Sí","No","","Sí","m","No","","No","","No","","No","","b","a","No","No","","ES","urban",True,"ca"
"aaad0b7","f","5","Sí","Sí","a","b","m","m","b","nsdmp","b","a","No","No","","Sí","m","No","","No","","No","","Sí","m","m","nvr","Sí","No","","ES","urban",True,"ca"
"c34e373","m","4","Sí","Sí","a","a","a","a","m","a","a","a","Sí","Sí","a","Sí","a","Sí","a","Sí","m","Sí","m","Sí","m","a","a","Sí","No","","ES","urban",True,"ca"
"5ad0638","f","5","Sí","Sí","m","nsdmp","m","b","nsdmp","nsdmp","b","a","No","No","","Sí","m","No","","No","","No","","No","","m","m","No","No","","","",False,"ca"
"33bcee6","f","5","Sí","Sí","a","b","b","b","nsdmp","nvr","nsdmp","a","No","No","","Sí","a","No","","nvr","","nvr","","nvr","","a","b","No","No","","ES","rural",True,"ca"
"8470e07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"d003724","m","5","Sí","Sí","a","b","m","nsdmp","nsdmp","b","b","m","No","Sí","a","Sí","b","nvr","","Sí","b","nvr","","Sí","b","m","m","No","No","","ES","rural",True,"ca"
"d361e6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"dcaa5d8","f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"c0a644e","f","4","Sí","Sí","m","nsdmp","b","nsdmp","m","m","m","a","Sí","Sí","a","Sí","m","Sí","m","Sí","b","Sí","b","Sí","b","m","m","No","No","","ES","urban",True,"ca"
"3ecbabb","f","2","Sí","Sí","m","m","a","b","nsdmp","m","m","m","No","Sí","a","Sí","m","Sí","a","Sí","b","Sí","b","Sí","m","a","m","Sí","No","","BE","",False,"en"
"03e6b48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"20ab757","f","4","Sí","Sí","b","a","a","m","nsdmp","m","b","a","","","","","","","","","","","","","","","","","","","ES","urban",True,"ca"
"dd88e0f","f","4","No","","","","","","","","","","Sí","Sí","a","No","","No","","No","","No","","No","","m","m","Sí","No","","ES","",False,"ca"
"6ab42f2","f","3","Sí","Sí","a","a","a","m","nsdmp","nsdmp","a","a","No","No","","Sí","m","Sí","m","No","","No","","No","","m","m","Sí","No","","ES","rural",True,"ca"
"906f8e0","f","1","No","","","","","","","","","","No","No","","No","","No","","No","","Sí","m","Sí","m","m","m","Sí","Sí","apasa","ES","urban",True,"ca"
"91152e5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"aa07d95","m","4","Sí","Sí","a","a","a","m","b","m","m","m","No","No","","No","","Sí","m","Sí","m","No","","No","","m","m","Sí","Sí","psm","ES","urban",True,"ca"
"924de30","m","4","Sí","Sí","a","b","m","m","b","m","m","a","Sí","Sí","a","nvr","","Sí","m","Sí","m","nvr","","nvr","","m","m","Sí","No","","BE","",False,"en"
"86c5f35","m","5","No","","","","","","","","","","Sí","No","","Sí","a","No","","No","","nvr","","No","","m","a","No","No","","ES","",False,"ca"
"f5c10f0","f","3","Sí","Sí","a","a","a","nt","nsdmp","nsdmp","m","a","Sí","Sí","m","Sí","m","Sí","b","Sí","b","nvr","","No","","a","a","Sí","Sí","apaso","US","",False,"en"
"2373468","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"60a275a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"5cf32f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"0dc300b","m","4","Sí","Sí","m","m","m","b","b","b","b","m","Sí","Sí","a","Sí","m","Sí","b","Sí","b","Sí","b","nvr","","b","b","No","No","","ES","urban",True,"ca"
"58b1c8e","nvr","3","Sí","Sí","m","a","a","b","nsdmp","b","m","m","Sí","Sí","a","No","","Sí","a","Sí","m","nvr","","Sí","m","a","a","No","No","","ES","urban",True,"ca"
"a540012","f","3","Sí","Sí","m","b","a","a","m","b","m","a","No","No","","Sí","m","Sí","m","No","","Sí","a","Sí","m","m","a","Sí","No","","ES","rural",True,"ca"
"02ed09a","f","6","No","","","","","","","","","","Sí","No","","Sí","m","Sí","m","nvr","","Sí","m","Sí","b","m","m","Sí","Sí","psm","ES","",False,"ca"
"95cc222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"b81bc6e","f","3","Sí","Sí","a","nsdmp","b","b","nsdmp","b","b","a","No","No","","nvr","","Sí","a","No","","Sí","b","No","","b","a","Sí","No","","MX","",False,"es"
"db7d9c3","f","4","No","","","","","","","","","","No","No","","Sí","m","Sí","a","nvr","","nvr","","nvr","","m","m","No","Sí","a","ES","urban",True,"es"
"d42a42d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"3eaaa25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"747ce5f","f","4","No","","","","","","","","","","Sí","Sí","a","No","","No","","Sí","a","Sí","m","No","","b","a","Sí","Sí","psm","ES","rural",True,"ca"
"28ec805","f","4","No","","","","","","","","","","Sí","No","","Sí","a","Sí","b","No","","No","","No","","b","nvr","No","No","","ES","urban",True,"ca"
"fa1efad","m","4","Sí","No","","a","b","nt","nsdmp","b","b","m","No","No","","No","","Sí","a","No","","nvr","","Sí","a","a","b","Sí","No","","ES","urban",True,"es"
"9b6db7b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"77a5d2f","f","2","Sí","Sí","a","nsdmp","m","nsdmp","nsdmp","nsdmp","nsdmp","m","No","No","","Sí","b","Sí","m","Sí","b","nvr","","nvr","","b","m","No","No","","ES","",False,"en"
"5a4afae","m","6","No","","","","","","","","","","Sí","Sí","m","No","","No","","No","","Sí","b","Sí","b","m","b","Sí","No","","ES","rural",True,"ca"
"4895bbd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"81f41fd","f","6","No","","","","","","","","","","No","No","","No","","No","","No","","nvr","","nvr","","b","","No","No","","ES","urban",True,"ca"
"6bac72b","f","5","No","","","","","","","","","","No","No","","No","","Sí","m","Sí","m","Sí","b","No","","m","m","No","No","","ES","urban",True,"ca"
"daa4f97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"ecbeb4e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"f362392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"0247e76","m","3","Sí","Sí","a","nsdmp","b","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","No","No","","Sí","b","Sí","m","Sí","b","Sí","b","No","","b","m","No","No","","ES","",False,"es"
"248b798","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"6de814d","f","3","No","","","","","","","","","","Sí","No","","Sí","m","No","","No","","No","","Sí","m","m","m","No","Sí","a","ES","rural",True,"ca"
"83608d5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"87b3434","f","4","Sí","Sí","a","m","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","m","No","Sí","a","Sí","b","No","","Sí","b","nvr","","nvr","","b","b","No","Sí","apaso","ES","urban",True,"es"
"fb37390","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"en"
"962a7dd","m","4","No","","","","","","","","","","No","Sí","a","No","","No","","No","","No","","No","","b","b","No","No","","ES","urban",True,"es"
"2ff47e5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"419e9df","m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"61e4a0f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"9b37a26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"7fb35e6","f","5","No","","","","","","","","","","Sí","Sí","a","No","","Sí","a","No","","No","","Sí","a","a","a","Sí","Sí","a","ES","urban",True,"es"
"f382ec0","f","3","No","","","","","","","","","","No","No","","No","","Sí","m","Sí","b","nvr","","nvr","","m","nvr","No","No","","ES","",False,"es"
"c95ac31","f","2","Sí","Sí","m","m","b","m","b","b","m","m","No","Sí","m","Sí","m","Sí","a","Sí","m","nvr","","","","","","","","","ES","urban",True,"ca"
"d135983","f","5","Sí","No","","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","a","No","No","","Sí","a","No","","Sí","b","No","","No","","m","b","No","No","","ES","urban",True,"ca"
"446ad6c","f","5","Sí","Sí","m","b","nvr","nt","nsdmp","nsdmp","nsdmp","a","No","No","","Sí","a","No","","No","","nvr","","nvr","","b","nvr","Sí","No","","ES","urban",True,"ca"
"7da3821","f","4","Sí","No","","b","b","nt","nsdmp","nsdmp","nsdmp","a","No","No","","nvr","","nvr","","nvr","","Sí","b","nvr","","m","b","No","No","","ES","urban",True,"es"
"b1d77f9","f","3","Sí","Sí","a","m","m","m","b","b","a","a","Sí","Sí","a","Sí","m","Sí","m","Sí","m","Sí","b","Sí","m","a","m","No","No","","AT","",False,"de"
"eb77de6","m","5","Sí","Sí","a","b","a","b","b","b","b","m","Sí","Sí","a","No","","No","","No","","No","","Sí","m","a","b","Sí","No","","ES","urban",True,"ca"
"dd6da1c","f","4","No","","","","","","","","","","Sí","Sí","a","No","","Sí","b","No","","Sí","b","Sí","b","b","b","Sí","Sí","apaso","ES","rural",True,"ca"
"79b65fb","f","4","Sí","Sí","nvr","nsdmp","m","b","nsdmp","nsdmp","b","a","Sí","Sí","a","No","","Sí","m","No","","No","","No","","b","b","No","No","","ES","urban",True,"ca"
"c7a7d85","m","3","Sí","Sí","a","a","a","b","b","m","a","a","Sí","Sí","a","Sí","m","Sí","a","Sí","a","Sí","b","Sí","a","m","a","Sí","No","","ES","urban",True,"ca"
"59c79dc","f","6","Sí","Sí","nsdmp","b","a","nt","nsdmp","b","nsdmp","a","No","No","","No","","Sí","m","No","","No","","No","","b","m","No","Sí","a","AR","",False,"es"
"20430ae","d","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","",False,"ca"
"217deff","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"697ddff","f","2","Sí","Sí","m","a","m","m","nsdmp","nsdmp","b","b","No","No","","No","","No","","No","","nvr","","nvr","","m","","Sí","No","","ES","",False,"ca"
"19b0291","m","3","Sí","No","","m","a","b","nsdmp","nsdmp","nsdmp","m","No","No","","Sí","a","No","","No","","nvr","","nvr","","m","a","No","No","","ES","urban",True,"ca"
"693ef79","m","1","Sí","Sí","m","b","m","b","b","m","m","m","Sí","No","","Sí","a","Sí","a","nvr","","nvr","","No","","m","m","No","No","","ES","urban",True,"ca"
"2b4cf59","f","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"en"
"51be121","f","4","Sí","Sí","m","a","m","nt","nsdmp","m","b","a","No","Sí","a","Sí","a","Sí","a","nvr","","nvr","","Sí","a","a","a","Sí","No","","ES","urban",True,"es"
"d81c8ac","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"d33371d","m","5","Sí","Sí","a","b","m","a","nsdmp","nsdmp","m","a","No","Sí","a","Sí","b","Sí","a","Sí","a","Sí","m","Sí","b","a","m","Sí","No","","ES","urban",True,"ca"
"52266ec","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"ae59248","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"de"
"4714e95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"e427669","f","4","Sí","Sí","b","b","b","nsdmp","nsdmp","nsdmp","b","a","Sí","Sí","a","Sí","b","No","","No","","Sí","b","No","","b","b","Sí","No","","ES","urban",True,"es"
"4c892db","f","3","Sí","Sí","a","b","m","a","nsdmp","nvr","a","m","","","","","","","","","","","","","","","","","","","ES","urban",True,"ca"
"1c627cb","m","4","Sí","Sí","m","nsdmp","b","nsdmp","nsdmp","nsdmp","m","b","Sí","Sí","b","Sí","b","Sí","m","No","","No","","No","","m","m","No","No","","ES","rural",True,"es"
"1f16f74","f","2","Sí","Sí","a","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","m","Sí","No","","Sí","m","Sí","m","Sí","a","Sí","b","No","","b","m","Sí","Sí","apaso","ES","rural",True,"ca"
"297d8e5","m","6","No","","","","","","","","","","No","No","","Sí","b","No","","No","","No","","No","","b","b","No","No","","ES","",False,"ca"
"900150c","f","6","nvr","","","","","","","","","","Sí","nvr","","Sí","a","No","","No","","No","","No","","nvr","a","Sí","No","","ES","urban",True,"ca"
"2d592aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"4358ef4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"c494a29","f","2","Sí","Sí","a","m","m","b","nsdmp","b","m","m","No","Sí","m","Sí","m","Sí","m","Sí","b","nvr","","nvr","","m","m","No","No","","AT","",False,"en"
"38ed080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"65acecd","m","3","No","","","","","","","","","","Sí","Sí","a","No","","No","","No","","No","","No","","a","a","Sí","No","","ES","rural",True,"ca"
"d41cc3d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"1e17723","f","3","Sí","Sí","a","nsdmp","m","nsdmp","nsdmp","nsdmp","b","m","No","Sí","a","Sí","m","Sí","m","Sí","b","Sí","b","Sí","b","m","b","No","Sí","a","","",False,"ca"
"57b0697","f","5","Sí","Sí","m","b","b","nt","nsdmp","nsdmp","b","m","No","No","","Sí","m","Sí","m","nvr","","nvr","","nvr","","b","b","No","No","","ES","rural",True,"ca"
"2d44931","m","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","",False,"ca"
"2b54679","m","3","No","","","","","","","","","","No","No","","Sí","b","Sí","m","No","","No","","No","","b","b","No","No","","","urban",True,"ca"
"1bca9b2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"8bb736f","f","1","Sí","Sí","a","m","m","m","nsdmp","b","b","a","","","","","","","","","","","","","","","","","","","ES","urban",True,"ca"
"870dc60","f","3","Sí","Sí","b","nsdmp","a","b","nsdmp","nsdmp","nsdmp","a","Sí","Sí","a","No","","No","","Sí","a","Sí","b","Sí","b","b","b","Sí","Sí","psm","ES","urban",True,"ca"
"679fa36","f","3","Sí","Sí","a","a","a","a","nsdmp","a","a","a","Sí","Sí","a","Sí","m","Sí","m","No","","Sí","m","No","","a","a","Sí","Sí","apaso","ES","urban",True,"ca"
"5d24d8a","f","3","Sí","Sí","a","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","m","m","No","No","","No","","No","","Sí","m","No","","No","","m","m","No","No","","ES","",False,"es"
"a664235","f","1","No","","","","","","","","","","No","No","","Sí","b","Sí","b","nvr","","nvr","","nvr","","b","m","No","No","","ES","urban",True,"ca"
"0dc7823","f","5","Sí","Sí","a","a","b","nt","nsdmp","nsdmp","b","a","No","Sí","a","Sí","a","Sí","a","nvr","","nvr","","Sí","a","m","b","No","nvr","","ES","",False,"es"
"f38953f","m","1","Sí","Sí","m","m","m","nt","b","b","m","m","No","No","","Sí","m","Sí","a","No","","Sí","b","No","","m","a","No","No","","ES","urban",True,"ca"
"516417f","f","6","Sí","Sí","m","m","m","m","m","m","m","m","No","Sí","a","Sí","a","Sí","a","No","","nvr","","Sí","m","a","m","Sí","No","","ES","urban",True,"ca"
"f52861b","f","2","Sí","Sí","a","b","m","m","nsdmp","b","m","a","No","Sí","a","No","","Sí","m","Sí","b","No","","No","","m","m","No","Sí","apasa","ES","urban",True,"ca"
"73d4e20","f","4","No","","","","","","","","","","No","No","","Sí","m","Sí","m","Sí","b","nvr","","Sí","b","m","m","No","No","","ES","rural",True,"es"
"2949a28","m","5","Sí","No","","nvr","nvr","nvr","nvr","nvr","nvr","nvr","No","No","","No","","No","","No","","No","","No","","m","","Sí","No","","ES","urban",True,"ca"
"8ec15bc","f","2","Sí","Sí","nsdmp","nsdmp","a","nsdmp","nsdmp","nsdmp","nsdmp","m","No","No","","No","","Sí","a","No","","No","","No","","m","a","No","No","","ES","",False,"ca"
"ed6cf9a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"90301e5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
