"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","7_otro_1","2_1"
"50a0fdd",-288.54832911491394,"unknown",-282.0009710788727,-275.1083872318268,0.0,6.913822650909424,8.93384337425232,16.671804189682007,27.27597689628601,33.51304745674133,35.44842529296875,41.07884883880615,"unknown","unknown",47.642380714416504,49.24427580833435,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",54.90282845497131,"","unknown",62.26458811759949,65.08502840995789,70.59468245506287,"unknown","unknown",77.29108905792236,79.50835418701172,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",86.6148567199707,"unknown","unknown",93.23738169670105,"",""
"b7cec81",-2034.502311706543,"unknown",-2028.5954420566559,-2022.914867401123,0.0,6.304952621459961,9.304530382156372,16.440537691116333,34.917632818222046,42.13514232635498,93.913334608078,"unknown",101.16894006729126,"unknown",107.4801733493805,109.71511387825012,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",115.71185684204102,"","unknown",121.77992367744446,154.21052074432373,"unknown",161.03098320960999,"unknown",167.4892816543579,169.73726797103882,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",175.7825756072998,"unknown","unknown",181.8971130847931,"",""
"bf983ba",-558.1235551834106,"unknown",-552.0421104431152,-544.9474992752075,0.0,6.7722859382629395,27.745760917663574,35.995622396469116,89.34538698196411,96.57481741905212,102.14947772026062,"unknown","unknown",107.62671899795532,114.50717234611511,129.4534294605255,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",135.32061672210693,"","unknown",140.6786561012268,171.86878561973572,"unknown",177.26216340065002,"unknown",182.76496982574463,200.80139636993408,206.37964844703674,209.90480208396912,"unknown","unknown",216.24349069595337,222.0993514060974,327.2028169631958,"unknown","unknown","unknown","unknown","unknown",334.0277519226074,"unknown",341.18494606018066,"",""
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-3554.7237808704376,"unknown",-3547.6810743808746,-3540.667759180069,0.0,6.994166135787964,10.840518712997437,19.111769437789917,35.62122988700867,41.31950664520264,44.73452186584473,"unknown","unknown",51.80390667915344,57.43994426727295,59.61243271827698,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.04365229606628,"","unknown",70.52225303649902,74.47803568840027,81.832683801651,"unknown","unknown",87.45372700691223,89.44826745986938,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",95.35019159317017,"unknown","unknown",100.99643135070801,"",""
"2457ed6",-23497.661644935608,"unknown",-23491.602361679077,-23485.513912677765,0.0,8.732762575149536,11.072470664978027,18.80894923210144,32.553284645080566,39.741193532943726,47.02600121498108,"unknown","unknown",54.11338567733765,61.25191283226013,64.20862984657288,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.71107721328735,"","unknown",75.78816533088684,150.25229334831238,"unknown","unknown",155.89404892921448,161.3496310710907,10627808.323981047,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",10627816.046431541,"unknown","unknown",10627821.720215082,10620785.146406412,""
