"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"c4bba29",-2414.1605207920074,"unknown",-2408.7092349529266,-2401.4753699302673,0.0,6.442156553268433,9.142138004302979,15.94164514541626,39.81031107902527,45.38825082778931,57.55700898170471,63.77854013442993,"unknown","unknown",70.26570224761963,89.09902715682983,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",95.9726505279541,"","unknown",102.92743849754333,247.41121697425842,254.7948670387268,"unknown","unknown",260.7386655807495,264.8848865032196,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",271.37381887435913,"unknown","unknown",277.6629559993744,""
"2dffb9e",-66.33707737922668,"unknown",-59.08090829849243,-53.04180407524109,0.0,7.100207567214966,1553.565495967865,1560.7524671554565,1571.9932730197906,1577.8654658794403,1582.3800208568573,"unknown",1588.0577239990234,"unknown",1594.9202771186829,1598.6188621520996,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",1604.803416967392,"","unknown",1611.4924793243408,1615.7060678005219,"unknown",1622.114249944687,"unknown",1628.7056999206543,1630.9311401844025,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1637.3738524913788,"unknown","unknown",1644.6283276081085,""
"7a35b75",-159.86909365653992,"unknown",-153.99322843551636,-148.48261499404907,0.0,6.795745849609375,13.452203035354614,20.329423427581787,36.17930293083191,42.0284469127655,45.58878684043884,51.430562019348145,"unknown","unknown",57.56085658073425,59.40297508239746,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",65.56843543052673,"","unknown",71.95605301856995,79.7450954914093,85.1577410697937,"unknown","unknown",90.86230039596558,92.6776671409607,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",99.80405116081238,"unknown","unknown",106.17653632164001,""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471",-519441.5238649845,"unknown",-519435.7942433357,-519428.92947530746,0.0,6.74191951751709,20.56631350517273,26.177220821380615,40.89508891105652,48.26436138153076,51.60468626022339,"unknown","unknown",57.63301110267639,64.46245837211609,66.52447557449341,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",73.02172303199768,"","unknown",78.89204430580139,102.07719373703003,"unknown","unknown",108.56996035575867,114.06701469421387,115.51539492607117,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",120.97223424911499,"unknown","unknown",127.98180985450745,""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
