"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","5_otro_1","2_1"
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-3094.073172569275,"unknown",-3088.0093710422516,-3082.1285021305084,0.0,5.537865161895752,9.359880924224854,17.145488262176514,25.718583822250366,31.662277936935425,36.83773422241211,"unknown",42.83406925201416,"unknown",49.912787675857544,52.18346428871155,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",58.98019099235535,"","unknown",65.76759576797485,70.08749866485596,"unknown","unknown",76.9298267364502,82.72524213790894,90.4135046005249,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",97.30224132537842,"unknown","unknown",102.88195133209229,"",""
"50a0fdd",-415918.66696572304,"unknown",-415912.1179282665,-415906.149269104,0.0,5.884905099868774,9.54396915435791,16.175654649734497,33.88547134399414,40.487733602523804,52.427515506744385,"unknown","unknown",59.48701500892639,66.33360815048218,68.44050407409668,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",74.01490020751953,"","unknown",80.36981654167175,92.13659071922302,"unknown","unknown",98.39778590202332,104.58541417121887,334.01459431648254,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",340.7083330154419,"unknown","unknown",346.336140871048,"",-310795.918412447
"b7cec81",-107637.45582175255,"unknown",-107631.78375649452,-107624.96445727348,0.0,6.6157920360565186,12.653312683105469,19.706130027770996,25.915169715881348,31.574957370758057,35.04425406455994,"unknown","unknown",41.8940703868866,47.89787483215332,50.084983825683594,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",55.64797878265381,"","unknown",62.65800595283508,66.88512372970581,"unknown","unknown",73.34130382537842,78.98698663711548,82.27529835700989,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",87.91476726531982,"unknown","unknown",95.29000329971313,"",""
"bf983ba",-3590.237480401993,"unknown",-3585.0608808994293,-3578.7824804782867,0.0,6.497747898101807,8.26984190940857,16.139273166656494,89.40928792953491,95.30894231796265,100.44692850112915,"unknown",106.71772289276123,"unknown",112.61099553108215,121.90731930732727,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",128.28762888908386,"","unknown",134.6984453201294,193.35687851905823,"unknown",199.2349512577057,"unknown",204.57760071754456,212.65547013282776,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",218.75892758369446,"unknown","unknown",224.96711325645447,"",""
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-47680.20164847374,"unknown",-47674.60666465759,-47668.42258501053,0.0,7.135298728942871,9.344507217407227,16.401819705963135,36.91854286193848,43.18661856651306,48.378612995147705,"unknown",55.40752196311951,"unknown",62.236080169677734,64.35101819038391,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",70.32087779045105,"","unknown",76.36559009552002,82.62036728858948,"unknown",88.5083315372467,"unknown",94.76948261260986,96.99400115013123,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",104.09629893302917,"unknown","unknown",109.23352766036987,"",""
