"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","otro_3","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"b7cec81",-66971.59690666199,"unknown",-66965.5182492733,-66958.84228992462,0.0,6.753188133239746,8.828490018844604,15.11813735961914,23.09909200668335,29.237196445465088,44.34096550941467,49.90998291969299,"unknown","unknown",55.93062925338745,57.89187479019165,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.36559844017029,"","unknown",70.23504590988159,84.95148491859436,91.189138174057,"unknown","unknown",96.84369349479675,98.84296798706055,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",105.29782271385193,"unknown","unknown",110.83847641944885
"bf983ba",-13.893962144851685,"unknown",-7.715906381607056,-1.9076757431030273,0.0,7.275302410125732,9.30812954902649,14.714852809906006,21.38685655593872,27.020723342895508,35.881373167037964,"unknown",42.3432412147522,"unknown",49.19856882095337,52.022613763809204,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",57.97331619262695,"","unknown",63.64180397987366,68.44871425628662,"unknown","unknown",74.82466888427734,81.33729124069214,83.65469551086426,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",89.11239194869995,"unknown","unknown",96.05762672424316
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-2846.167513370514,"unknown",-2839.936430454254,-2833.5242836475372,0.0,6.559762239456177,10.133392333984375,16.37493133544922,25.715044021606445,31.41684603691101,35.44707918167114,41.96560764312744,"unknown","unknown",48.41502070426941,49.75454926490784,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",55.339000940322876,"","unknown",62.587873458862305,67.45374608039856,74.20784759521484,"unknown","unknown",80.70942115783691,81.90186738967896,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",87.80011343955994,"unknown","unknown",94.79849600791931
"2457ed6",-253041.4307179451,"unknown",-253034.46605038643,-253028.64668822289,0.0,6.82597804069519,9.981879234313965,17.288700819015503,24.25933527946472,31.02598786354065,43.94999551773071,49.503634452819824,"unknown","unknown",56.33785152435303,58.738651275634766,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.33510565757751,"","unknown",70.72032594680786,80.36004996299744,87.1992826461792,"unknown","unknown",94.2847626209259,96.18091607093811,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",102.09481239318848,"unknown","unknown",108.91947674751282
"c4bba29",-67.63545155525208,"unknown",-60.57487607002258,-54.21673655509949,0.0,6.269610643386841,9.276600360870361,15.60113263130188,29.527206420898438,35.14277935028076,38.890401124954224,"unknown","unknown",44.18685960769653,50.33225774765015,52.01569390296936,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",57.94467568397522,"","unknown",64.66026878356934,68.83756422996521,"unknown","unknown",75.89285206794739,82.42775797843933,97.62078762054443,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",103.50133204460144,"unknown","unknown",109.1588249206543
"2dffb9e",-427.55268454551697,"unknown",-420.992399930954,-413.8996388912201,0.0,5.520407438278198,7.132410049438477,13.127050876617432,14.869829893112183,21.199981927871704,29.662729263305664,35.854289054870605,"unknown","unknown",42.9796724319458,44.91021418571472,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",51.85073924064636,"","unknown",57.15913963317871,91.69355177879333,"unknown",99.02490782737732,"unknown",104.50097990036011,108.65077328681946,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",115.47062373161316,"unknown","unknown",121.50212144851685
