"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"870dc60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-6217.867378473282,-6211.001959562302,-6203.823885917664,-6196.458393335342,0.0,5.458586931228638,7.2834553718566895,13.901861190795898,32.72185015678406,40.07256531715393,41.87478804588318,48.987467765808105,"unknown","unknown",56.01282024383545,369.7807970046997,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",376.84256076812744,"unknown",383.5552456378937,385.6164631843567,391.93064856529236,"unknown","unknown",397.62135219573975,424.80915117263794,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",430.57255458831787,"unknown","unknown",437.90230560302734,""
"0e42357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3",-13510647.13811016,-13510640.1741364,-13510632.973221779,-13510626.214354992,0.0,6.235771894454956,9.288158893585205,14.686913251876831,36.723522663116455,43.17602515220642,51.94802689552307,"unknown",58.40475106239319,"unknown",64.61078691482544,69.70838737487793,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",75.69943070411682,"unknown",81.95207691192627,88.32915186882019,95.39237356185913,"unknown","unknown",101.7026879787445,105.36463570594788,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",112.12331891059875,"unknown","unknown",118.85522866249084,-2472790.5167369843
"8ec15bc",-23.381502866744995,-17.680703163146973,-10.609885692596436,-3.662893295288086,0.0,6.0412757396698,7.4281699657440186,13.168281316757202,42.12807250022888,48.22591996192932,51.89057660102844,58.90852475166321,"unknown","unknown",64.97272157669067,71.00596284866333,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.23752045631409,"unknown",82.70903205871582,86.05500435829163,92.18923473358154,"unknown","unknown",97.9442629814148,102.86353635787964,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",109.01320552825928,"unknown","unknown",115.72042274475098,""
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e51496b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01baaf6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e8a0b7a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6c3f0f6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1f77294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6f1360e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1e17723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
