"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","cont_2","2_1","2_2"
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-15251.411035299301,"unknown",-15245.276590108871,-15239.586771965027,0.0,7.114126682281494,11.085767030715942,16.761432647705078,31.514890670776367,37.24282622337341,45.22202682495117,"unknown",51.015750885009766,"unknown",57.758965492248535,64.17484927177429,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",70.9763777256012,"","unknown",76.38800120353699,80.60792303085327,"unknown",86.18291902542114,"unknown",92.9438214302063,94.6048903465271,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",103.07313561439514,"unknown","unknown",109.3926887512207,"","",""
"50a0fdd",-1095.730750799179,"unknown",-1088.77676987648,-1083.4952583312988,0.0,5.594340562820435,36.23772072792053,41.95056629180908,75.22146129608154,81.42774629592896,87.20336127281189,"unknown",92.70086526870728,"unknown",98.17845153808594,112.4524667263031,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",118.91714191436768,"","unknown",125.89153361320496,143.81040453910828,"unknown",149.23037433624268,"unknown",155.26835656166077,160.6292667388916,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",167.6977527141571,"unknown","unknown",174.37931180000305,"","",""
"b7cec81",-606.695033788681,"unknown",-599.8819484710693,-593.7201833724976,0.0,6.17393946647644,8.494921922683716,14.737933874130249,30.90348505973816,37.977683305740356,41.94017505645752,"unknown","unknown",48.312854290008545,54.25152111053467,56.07150983810425,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",62.39566230773926,"","unknown",68.84239673614502,71.66893434524536,"unknown","unknown",78.39535236358643,83.8734564781189,85.68606948852539,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",90.93536019325256,"unknown","unknown",97.06899642944336,"","",""
"bf983ba",-3832.6269624233246,"unknown",-3826.402289867401,-3820.1036338806152,0.0,8.827758312225342,42.926374673843384,49.22328996658325,62.89765977859497,68.16073083877563,69.56140542030334,75.29306387901306,"unknown","unknown",80.99987459182739,82.68297052383423,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",88.9485330581665,"","unknown",96.11175847053528,100.82050204277039,"unknown",106.93934440612793,"unknown",113.47328901290894,133.43697690963745,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",138.81897568702698,"unknown","unknown",146.04189133644104,"","",""
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
